File ID,File Link,User ID,Username,Current Date,Year,Department,Academic year,Semester,Course Name,Course Type,Material Type,Lecture,Exams Type
15,https://t.me/Q4K_Database_Backup/15,1135869415,shrouk23,2023-11-22 13:59:42.090046,2024,IT,Fourth Year,First Semester,Network Management,Exams,,,Practical
16,https://t.me/Q4K_Database_Backup/16,1135869415,shrouk23,2023-11-22 14:01:36.048425,2024,IT,Fourth Year,First Semester,Network Management,Sections,Summary,Lec,
17,https://t.me/Q4K_Database_Backup/17,1135869415,shrouk23,2023-11-22 14:06:44.989694,2024,IT,Fourth Year,First Semester,,Exams,,,Midterm
18,https://t.me/Q4K_Database_Backup/18,1135869415,shrouk23,2023-11-22 14:08:09.477685,2024,IT,Fourth Year,First Semester,Network Security,Exams,,,Practical
19,https://t.me/Q4K_Database_Backup/19,1135869415,shrouk23,2023-11-22 14:13:00.836412,2024,IT,Fourth Year,First Semester,Network Security,Exams,,,Practical
20,https://t.me/Q4K_Database_Backup/20,1135869415,shrouk23,2023-11-22 15:22:36.933767,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
21,https://t.me/Q4K_Database_Backup/21,1122159779,,2023-11-22 21:08:09.508233,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Final
22,https://t.me/Q4K_Database_Backup/22,1394038059,,2023-11-23 16:54:02.198902,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
23,https://t.me/Q4K_Database_Backup/23,1394038059,,2023-11-23 16:54:02.811577,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
24,https://t.me/Q4K_Database_Backup/24,1394038059,,2023-11-23 16:54:03.462226,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
25,https://t.me/Q4K_Database_Backup/25,1394038059,,2023-11-23 16:54:04.030751,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
26,https://t.me/Q4K_Database_Backup/26,1394038059,,2023-11-23 16:54:04.607730,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
27,https://t.me/Q4K_Database_Backup/27,1394038059,,2023-11-23 16:54:05.197168,2024,Fourth Year,IS,First Semester,Introduction to Multimedia Technology,Lectures,Slide,Lec,
28,https://t.me/Q4K_Database_Backup/28,1394038059,,2023-11-23 19:57:59.163022,2024,Fourth Year,IS,First Semester,Data Mining,Lectures,Slide,Lec,
29,https://t.me/Q4K_Database_Backup/29,1394038059,,2023-11-23 19:57:59.855047,2024,Fourth Year,IS,First Semester,Data Mining,Lectures,Slide,Lec,
30,https://t.me/Q4K_Database_Backup/30,1394038059,,2023-11-23 19:58:00.525102,2024,Fourth Year,IS,First Semester,Data Mining,Lectures,Slide,Lec,
31,https://t.me/Q4K_Database_Backup/31,5486303381,OsamaM0,2023-11-26 10:29:41.337611,2024,Fourth Year,CS,First Semester,Computer Vision,Lectures,Slide,Lec1,
32,https://t.me/Q4K_Database_Backup/32,5486303381,OsamaM0,2023-11-26 10:29:41.545390,2024,Fourth Year,CS,First Semester,Computer Vision,Lectures,Slide,Lec2,
33,https://t.me/Q4K_Database_Backup/33,5486303381,OsamaM0,2023-11-26 10:29:41.914142,2024,Fourth Year,CS,First Semester,Computer Vision,Lectures,Slide,Lec3,
34,https://t.me/Q4K_Database_Backup/34,5486303381,OsamaM0,2023-11-26 10:29:42.236537,2024,Fourth Year,CS,First Semester,Computer Vision,Lectures,Slide,Lec4,
35,https://t.me/Q4K_Database_Backup/35,5486303381,OsamaM0,2023-11-26 10:29:42.426785,2024,Fourth Year,CS,First Semester,Computer Vision,Lectures,Slide,Lec5,
36,https://t.me/Q4K_Database_Backup/36,5486303381,OsamaM0,2023-11-27 10:49:42.401791,2024,CS,Fourth Year,First Semester,Computer Vision,Lectures,Slide,Lec0,
37,https://t.me/Q4K_Database_Backup/37,5486303381,OsamaM0,2023-11-27 11:38:19.648967,2021,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Final
38,https://t.me/Q4K_Database_Backup/38,5486303381,OsamaM0,2023-11-27 11:38:23.903034,2021,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Final
39,https://t.me/Q4K_Database_Backup/39,5486303381,OsamaM0,2023-11-27 11:43:14.284034,2019,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Final
40,https://t.me/Q4K_Database_Backup/40,5486303381,OsamaM0,2023-11-27 11:43:14.506100,2019,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Final
41,https://t.me/Q4K_Database_Backup/41,1394038059,,2023-11-27 13:14:05.427324,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec1,
42,https://t.me/Q4K_Database_Backup/42,1394038059,,2023-11-27 13:14:05.642149,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec2,
43,https://t.me/Q4K_Database_Backup/43,1394038059,,2023-11-27 13:14:05.925914,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec3,
44,https://t.me/Q4K_Database_Backup/44,1394038059,,2023-11-27 13:14:06.223442,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec4,
45,https://t.me/Q4K_Database_Backup/45,1394038059,,2023-11-27 13:14:06.463200,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec5,
46,https://t.me/Q4K_Database_Backup/46,1394038059,,2023-11-27 13:14:10.750911,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec6,
47,https://t.me/Q4K_Database_Backup/47,1394038059,,2023-11-27 13:14:10.986926,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec7,
48,https://t.me/Q4K_Database_Backup/48,1394038059,,2023-11-27 13:14:11.302730,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec8,
49,https://t.me/Q4K_Database_Backup/49,1394038059,,2023-11-27 13:14:11.518749,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec9,
50,https://t.me/Q4K_Database_Backup/50,1394038059,,2023-11-27 13:14:11.727815,2024,IS,Fourth Year,First Semester,Analysis and Design of Information Systems,Lectures,Slide,Lec10,
51,https://t.me/Q4K_Database_Backup/51,5549398282,OSAMA_MO7,2023-11-27 15:43:43.893843,2024,CS,Fourth Year,First Semester,Computer Vision,Lectures,Book,,
52,https://t.me/Q4K_Database_Backup/52,5549398282,OSAMA_MO7,2023-11-28 13:38:57.781362,2024,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Midterm
53,https://t.me/Q4K_Database_Backup/53,5549398282,OSAMA_MO7,2023-11-28 13:38:58.061670,2024,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Midterm
54,https://t.me/Q4K_Database_Backup/54,1019033116,Mohamedrabie17,2023-11-28 14:55:20.938881,2024,CS,First Year,First Semester,Mathematics I,Exams,,,Midterm
55,https://t.me/Q4K_Database_Backup/55,1019033116,Mohamedrabie17,2023-11-28 14:56:48.279579,2024,CS,First Year,First Semester,Mathematics I,Exams,,,Final
56,https://t.me/Q4K_Database_Backup/56,1135869415,shrouk23,2023-11-28 17:35:26.171590,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Book,,
57,https://t.me/Q4K_Database_Backup/57,1135869415,shrouk23,2023-11-28 17:43:39.940756,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Exams,,,Midterm
58,https://t.me/Q4K_Database_Backup/58,1135869415,shrouk23,2023-11-28 17:44:34.269192,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Book,Lec0,
59,https://t.me/Q4K_Database_Backup/59,1232178602,abduallhamohamed,2023-11-28 18:27:08.023378,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Slide,Lec1,
60,https://t.me/Q4K_Database_Backup/60,1232178602,abduallhamohamed,2023-11-28 18:29:18.592368,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Slide,Lec2,
61,https://t.me/Q4K_Database_Backup/61,1232178602,abduallhamohamed,2023-11-28 18:34:18.195064,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Slide,Lec3,
62,https://t.me/Q4K_Database_Backup/62,1232178602,abduallhamohamed,2023-11-28 19:33:37.714430,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Slide,Lec4,
63,https://t.me/Q4K_Database_Backup/63,1232178602,abduallhamohamed,2023-11-28 19:35:03.244372,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Slide,Lec5,
64,https://t.me/Q4K_Database_Backup/64,1232178602,abduallhamohamed,2023-11-28 19:38:03.177467,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Video,Lec5,
65,https://t.me/Q4K_Database_Backup/65,1232178602,abduallhamohamed,2023-11-28 19:38:03.818534,2024,,Fourth Year,,,,,,
66,https://t.me/Q4K_Database_Backup/66,1232178602,abduallhamohamed,2023-11-28 19:40:34.607730,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Midterm
67,https://t.me/Q4K_Database_Backup/67,1232178602,abduallhamohamed,2023-11-28 19:47:07.537234,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Midterm
68,https://t.me/Q4K_Database_Backup/68,1232178602,abduallhamohamed,2023-11-28 19:48:12.559118,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Midterm
69,https://t.me/Q4K_Database_Backup/69,1232178602,abduallhamohamed,2023-11-28 19:48:12.830909,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Midterm
70,https://t.me/Q4K_Database_Backup/70,1232178602,abduallhamohamed,2023-11-28 19:50:09.487007,2024,CS,Fourth Year,,,,,,
71,https://t.me/Q4K_Database_Backup/71,1232178602,abduallhamohamed,2023-11-28 19:51:03.344842,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Final
72,https://t.me/Q4K_Database_Backup/72,1232178602,abduallhamohamed,2023-11-28 19:51:03.653990,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Final
73,https://t.me/Q4K_Database_Backup/73,1232178602,abduallhamohamed,2023-11-28 19:52:01.003501,2024,CS,Fourth Year,First Semester,Compiler Construction,Exams,,,Final
74,https://t.me/Q4K_Database_Backup/74,1232178602,abduallhamohamed,2023-11-28 19:54:40.781989,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Summary,Lec0,
75,https://t.me/Q4K_Database_Backup/75,5549398282,OSAMA_MO7,2023-11-28 21:03:06.626000,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Video,Lec2,
76,https://t.me/Q4K_Database_Backup/76,1400789344,HeshamAhmedsoliman,2023-11-28 21:47:44.023398,2024,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Midterm
77,https://t.me/Q4K_Database_Backup/77,1400789344,HeshamAhmedsoliman,2023-11-28 21:47:44.219509,2024,CS,Fourth Year,First Semester,Computer Vision,Exams,,,Midterm
78,https://t.me/Q4K_Database_Backup/78,5549398282,OSAMA_MO7,2023-11-29 06:37:35.640618,2024,CS,Fourth Year,First Semester,Compiler Construction,Lectures,Video,Lec1,
79,https://t.me/Q4K_Database_Backup/79,5549398282,OSAMA_MO7,2023-11-29 17:35:12.178449,2021,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
80,https://t.me/Q4K_Database_Backup/80,5549398282,OSAMA_MO7,2023-11-29 17:35:12.504838,2021,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
81,https://t.me/Q4K_Database_Backup/81,5549398282,OSAMA_MO7,2023-11-29 17:36:16.342328,2021,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
82,https://t.me/Q4K_Database_Backup/82,5549398282,OSAMA_MO7,2023-11-29 17:36:16.741505,2021,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
83,https://t.me/Q4K_Database_Backup/83,5549398282,OSAMA_MO7,2023-11-29 17:36:17.149777,2021,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
84,https://t.me/Q4K_Database_Backup/84,5549398282,OSAMA_MO7,2023-11-29 17:37:25.478968,2019,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
85,https://t.me/Q4K_Database_Backup/85,5549398282,OSAMA_MO7,2023-11-29 17:37:25.850592,2019,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
86,https://t.me/Q4K_Database_Backup/86,5549398282,OSAMA_MO7,2023-11-29 20:30:06.828033,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec1,
87,https://t.me/Q4K_Database_Backup/87,5549398282,OSAMA_MO7,2023-11-29 20:30:07.186061,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec2,
88,https://t.me/Q4K_Database_Backup/88,5549398282,OSAMA_MO7,2023-11-29 20:30:07.486995,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec3,
89,https://t.me/Q4K_Database_Backup/89,5549398282,OSAMA_MO7,2023-11-29 20:30:07.727380,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec4,
90,https://t.me/Q4K_Database_Backup/90,5549398282,OSAMA_MO7,2023-11-29 20:30:08.042599,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec5,
91,https://t.me/Q4K_Database_Backup/91,5549398282,OSAMA_MO7,2023-11-29 20:32:06.390722,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Lectures,Slide,Lec6,
92,https://t.me/Q4K_Database_Backup/92,1749998287,BenSobhy1,2023-11-30 07:33:47.401872,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
93,https://t.me/Q4K_Database_Backup/93,1749998287,BenSobhy1,2023-11-30 07:33:47.765428,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
94,https://t.me/Q4K_Database_Backup/94,1749998287,BenSobhy1,2023-11-30 07:33:48.028050,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
95,https://t.me/Q4K_Database_Backup/95,1749998287,BenSobhy1,2023-11-30 07:33:48.359672,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
96,https://t.me/Q4K_Database_Backup/96,1749998287,BenSobhy1,2023-11-30 07:33:48.663508,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
97,https://t.me/Q4K_Database_Backup/97,1749998287,BenSobhy1,2023-11-30 07:33:52.997548,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
98,https://t.me/Q4K_Database_Backup/98,1749998287,BenSobhy1,2023-11-30 07:33:53.303836,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
99,https://t.me/Q4K_Database_Backup/99,1749998287,BenSobhy1,2023-11-30 07:33:53.536693,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
100,https://t.me/Q4K_Database_Backup/100,1749998287,BenSobhy1,2023-11-30 07:33:53.788344,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
101,https://t.me/Q4K_Database_Backup/101,1749998287,BenSobhy1,2023-11-30 07:33:54.101778,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Midterm
102,https://t.me/Q4K_Database_Backup/102,1749998287,BenSobhy1,2023-11-30 07:34:45.422200,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
103,https://t.me/Q4K_Database_Backup/103,1749998287,BenSobhy1,2023-11-30 07:34:45.650350,2024,CS,Fourth Year,First Semester,Wireless and Mobile Computing,Exams,,,Final
104,https://t.me/Q4K_Database_Backup/104,5486303381,OsamaM0,2023-12-01 11:40:04.168721,2024,CS,Fourth Year,First Semester,Parallel Computation,Lectures,Slide,Lec1,
105,https://t.me/Q4K_Database_Backup/105,5486303381,OsamaM0,2023-12-01 11:40:09.819377,2024,CS,Fourth Year,First Semester,Parallel Computation,Lectures,Slide,Lec2,
106,https://t.me/Q4K_Database_Backup/106,5486303381,OsamaM0,2023-12-01 11:40:26.990219,2024,CS,Fourth Year,First Semester,Parallel Computation,Lectures,Slide,Lec3,
107,https://t.me/Q4K_Database_Backup/107,5486303381,OsamaM0,2023-12-01 11:42:50.870575,2024,CS,Fourth Year,First Semester,Parallel Computation,Lectures,Slide,Lec4,
108,https://t.me/Q4K_Database_Backup/108,5549398282,OSAMA_MO7,2023-12-01 12:07:01.513534,2024,CS,Fourth Year,First Semester,Parallel Computation,Sections,Slide,Lec1,
109,https://t.me/Q4K_Database_Backup/109,5549398282,OSAMA_MO7,2023-12-01 12:07:37.565877,2024,CS,Fourth Year,First Semester,Parallel Computation,Sections,Slide,Lec3,
110,https://t.me/Q4K_Database_Backup/110,5549398282,OSAMA_MO7,2023-12-01 12:08:19.634716,2024,CS,Fourth Year,First Semester,Parallel Computation,Sections,Video,Lec3,
111,https://t.me/Q4K_Database_Backup/111,1135869415,shrouk23,2023-12-01 14:10:50.046166,2024,IT,Fourth Year,First Semester,Network Security,Sections,Slide,Lec1,
112,https://t.me/Q4K_Database_Backup/112,1135869415,shrouk23,2023-12-01 14:10:50.324564,2024,IT,Fourth Year,First Semester,Network Security,Sections,Slide,Lec2,
113,https://t.me/Q4K_Database_Backup/113,1135869415,shrouk23,2023-12-01 14:10:50.624457,2024,IT,Fourth Year,First Semester,Network Security,Sections,Slide,Lec3,
114,https://t.me/Q4K_Database_Backup/114,1135869415,shrouk23,2023-12-01 14:13:54.182564,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Slide,Lec1,
115,https://t.me/Q4K_Database_Backup/115,1135869415,shrouk23,2023-12-01 14:14:23.571188,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Slide,Lec2,
116,https://t.me/Q4K_Database_Backup/116,1135869415,shrouk23,2023-12-01 14:15:01.056692,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Slide,Lec3,
117,https://t.me/Q4K_Database_Backup/117,1135869415,shrouk23,2023-12-01 14:15:39.058462,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Slide,Lec4,
118,https://t.me/Q4K_Database_Backup/118,1135869415,shrouk23,2023-12-01 14:15:39.345855,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Slide,L,
119,https://t.me/Q4K_Database_Backup/119,5549398282,OSAMA_MO7,2023-12-01 17:52:11.132238,2020,CS,Fourth Year,First Semester,Parallel Computation,Exams,,,Final
120,https://t.me/Q4K_Database_Backup/120,5549398282,OSAMA_MO7,2023-12-01 17:52:11.422370,2020,CS,Fourth Year,First Semester,Parallel Computation,Exams,,,Final
121,https://t.me/Q4K_Database_Backup/121,1311186034,Mahmoudhd134,2023-12-01 22:11:39.246130,2024,CS,Fourth Year,First Semester,Parallel Computation,Lectures,Video,Lec2,
122,https://t.me/Q4K_Database_Backup/122,1135869415,shrouk23,2023-12-02 21:41:24.104459,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Summary,Lec1,
123,https://t.me/Q4K_Database_Backup/123,1135869415,shrouk23,2023-12-02 21:43:19.988423,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Summary,Lec2,
124,https://t.me/Q4K_Database_Backup/124,1135869415,shrouk23,2023-12-02 22:08:14.077125,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec1,
125,https://t.me/Q4K_Database_Backup/125,1135869415,shrouk23,2023-12-02 22:08:47.319641,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec2,
126,https://t.me/Q4K_Database_Backup/126,1135869415,shrouk23,2023-12-02 22:08:47.558376,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,L,
127,https://t.me/Q4K_Database_Backup/127,1135869415,shrouk23,2023-12-02 22:08:47.746179,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,e,
128,https://t.me/Q4K_Database_Backup/128,1135869415,shrouk23,2023-12-02 22:09:41.067159,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec3,
129,https://t.me/Q4K_Database_Backup/129,1135869415,shrouk23,2023-12-02 22:09:41.316423,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,L,
130,https://t.me/Q4K_Database_Backup/130,1135869415,shrouk23,2023-12-02 22:09:41.525839,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,e,
131,https://t.me/Q4K_Database_Backup/131,1135869415,shrouk23,2023-12-02 22:10:14.699831,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec4,
132,https://t.me/Q4K_Database_Backup/132,1135869415,shrouk23,2023-12-02 22:10:39.773663,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec5,
133,https://t.me/Q4K_Database_Backup/133,1135869415,shrouk23,2023-12-02 22:11:24.926967,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec6,
134,https://t.me/Q4K_Database_Backup/134,1135869415,shrouk23,2023-12-02 22:12:20.877691,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec7,
135,https://t.me/Q4K_Database_Backup/135,1135869415,shrouk23,2023-12-02 22:13:14.622512,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec9,
136,https://t.me/Q4K_Database_Backup/136,1135869415,shrouk23,2023-12-02 22:13:41.059119,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec10,
137,https://t.me/Q4K_Database_Backup/137,1135869415,shrouk23,2023-12-02 22:14:07.262770,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec11,
138,https://t.me/Q4K_Database_Backup/138,1135869415,shrouk23,2023-12-02 22:14:41.859380,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec12,
139,https://t.me/Q4K_Database_Backup/139,1135869415,shrouk23,2023-12-02 22:15:03.642586,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Slide,Lec13,
140,https://t.me/Q4K_Database_Backup/140,1135869415,shrouk23,2023-12-02 22:18:40.978762,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Sections,Slide,Lec1,
141,https://t.me/Q4K_Database_Backup/141,1135869415,shrouk23,2023-12-02 22:18:41.272961,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Sections,Slide,Lec2,
142,https://t.me/Q4K_Database_Backup/142,1135869415,shrouk23,2023-12-02 22:18:41.463771,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Sections,Slide,Lec3,
143,https://t.me/Q4K_Database_Backup/143,1135869415,shrouk23,2023-12-02 22:18:41.686302,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Sections,Slide,Lec4,
144,https://t.me/Q4K_Database_Backup/144,1135869415,shrouk23,2023-12-02 22:18:41.943171,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Sections,Slide,Lec5,
145,https://t.me/Q4K_Database_Backup/145,1135869415,shrouk23,2023-12-02 22:21:26.564042,2024,IT,Fourth Year,First Semester,Network Analysis and Design,Lectures,Summary,Lec0,
146,https://t.me/Q4K_Database_Backup/146,1135869415,shrouk23,2023-12-03 12:12:20.906162,2024,IT,Fourth Year,First Semester,Network Security,Exams,,,Practical
176,https://t.me/Q4K_Database/176,1135869415,shrouk23,2023-12-21 17:29:30.955007,2024,IT,Fourth Year,First Semester,Network Security,Lectures,Summary,Lec4,None
